First name,Last name,National Insurance number,In which tax year was the money purchase pension savings statement issued? (XXXX to XXXX),What is the total of the member’s pension input amounts for money purchase arrangements under the scheme for the tax year that the purchase pension savings statement was issued? (£)
Damion,Padberg,AB715584C,2022 to 2023,809.90
Kyra,Windler,AB948237C,2022 to 2023,226.20
Brandi,Kemmer,AB717463C,2022 to 2023,65.81
Ursula,Kertzmann,AB486167C,2022 to 2023,832.69
Marcia,Dooley,AB540180C,2022 to 2023,79.61
Merl,Wehner,AB609296C,2022 to 2023,513.82
Russ,Hirthe,AB692896C,2022 to 2023,814.05
Soledad,Bailey,AB769379C,2022 to 2023,608.51
Valentina,Huels,AB983246C,2022 to 2023,952.02
Clovis,Gerhold,AB805631C,2022 to 2023,754.46
Wilton,Gottlieb,AB894832C,2022 to 2023,240.80
Ahmad,Dare,AB389065C,2022 to 2023,800.79
Ova,Abernathy,AB704044C,2022 to 2023,611.54
Carmelo,Jaskolski,AB168427C,2022 to 2023,999.64
Gail,Bruen,AB343406C,2022 to 2023,396.45
Maudie,Lockman,AB161523C,2022 to 2023,260.18
Dagmar,Lindgren,AB548162C,2022 to 2023,637.18
Norbert,Ziemann,AB923701C,2022 to 2023,173.60
Estrella,Doyle,AB400158C,2022 to 2023,981.45
Ben,Swift,AB779536C,2022 to 2023,741.91
Ivory,King,AB302715C,2022 to 2023,342.69
Claud,DuBuque,AB959540C,2022 to 2023,684.34
Mable,Williamson,AB727651C,2022 to 2023,160.17
Mike,Schimmel,AB567696C,2022 to 2023,866.17
Gregorio,Balistreri,AB316066C,2022 to 2023,443.41
Myles,Wolff,AB131991C,2022 to 2023,561.35
Nash,Little,AB892874C,2022 to 2023,140.78
Cheyenne,Schaefer,AB650166C,2022 to 2023,826.07
Kara,Gaylord,AB708999C,2022 to 2023,509.09
Davin,Lueilwitz,AB194328C,2022 to 2023,28.39
Bella,Hayes,AB477560C,2022 to 2023,44.90
Daron,Lubowitz,AB326396C,2022 to 2023,816.33
Theodora,Labadie,AB994011C,2022 to 2023,483.39
Mekhi,Kreiger,AB108134C,2022 to 2023,574.39
Lloyd,Murazik,AB690282C,2022 to 2023,888.17
Walton,Hahn,AB269028C,2022 to 2023,49.52
Dallas,Kautzer,AB526991C,2022 to 2023,356.97
Malika,Hintz,AB208529C,2022 to 2023,221.44
Wilford,Spencer,AB519126C,2022 to 2023,305.68
Maximus,Mraz,AB722605C,2022 to 2023,486.37
Victoria,Doyle,AB917522C,2022 to 2023,64.12
Leanna,Bode,AB605730C,2022 to 2023,85.28
Kaleb,Gerhold,AB232388C,2022 to 2023,44.16
Leanne,Lynch,AB370858C,2022 to 2023,934.50
Rylan,Hilpert,AB934363C,2022 to 2023,612.12
Magdalen,Gislason,AB109674C,2022 to 2023,652.87
Benedict,Effertz,AB830367C,2022 to 2023,797.11
Hettie,Langosh,AB592969C,2022 to 2023,446.57
Paige,Beatty,AB684374C,2022 to 2023,111.12
Kelley,Douglas,AB408876C,2022 to 2023,683.44
Mike,Mann,AB370127C,2022 to 2023,775.92
Terrance,Schmitt,AB761356C,2022 to 2023,799.00
Clemens,Langworth,AB757840C,2022 to 2023,517.16
Imani,Bernhard,AB295776C,2022 to 2023,806.22
Mariah,Rolfson,AB233746C,2022 to 2023,594.74
Johnathan,O'Connell,AB646678C,2022 to 2023,883.54
Savion,Morar,AB490575C,2022 to 2023,564.45
Juwan,Turner,AB302603C,2022 to 2023,610.67
Uriel,Runte,AB359085C,2022 to 2023,359.91
Tianna,Satterfield,AB582684C,2022 to 2023,975.06
Domenico,Bernhard,AB423981C,2022 to 2023,634.21
Hank,Wiza,AB457029C,2022 to 2023,31.98
Jadon,Lowe,AB638062C,2022 to 2023,282.28
Alvah,Streich,AB226167C,2022 to 2023,700.41
Sandrine,Wolf,AB539403C,2022 to 2023,225.94
Magdalena,Bednar,AB145561C,2022 to 2023,98.21
Wade,Nienow,AB238097C,2022 to 2023,318.54
Tanner,Turcotte,AB327081C,2022 to 2023,907.01
Raleigh,Fahey,AB410110C,2022 to 2023,705.73
Audra,Hoeger,AB358075C,2022 to 2023,358.60
Malachi,Anderson,AB235087C,2022 to 2023,24.22
Bart,Parisian,AB274500C,2022 to 2023,931.01
Gabrielle,Olson,AB249993C,2022 to 2023,893.59
Domenic,Douglas,AB535195C,2022 to 2023,167.71
Althea,Gutkowski,AB947781C,2022 to 2023,706.20
Alexandra,Kessler,AB852200C,2022 to 2023,200.93
Nicolette,Pouros,AB147447C,2022 to 2023,133.30
Nyasia,Mills,AB432393C,2022 to 2023,251.95
Ari,Stamm,AB815370C,2022 to 2023,698.12
Brianne,Rohan,AB235466C,2022 to 2023,154.97
Gage,Bergstrom,AB730949C,2022 to 2023,103.39
Quinn,Kirlin,AB914893C,2022 to 2023,740.52
Fred,Runolfsson,AB303738C,2022 to 2023,822.66
Brock,Bergnaum,AB847834C,2022 to 2023,403.61
Francisco,Barton,AB479137C,2022 to 2023,896.43
Trace,Predovic,AB353209C,2022 to 2023,265.23
Gillian,Schuster,AB875847C,2022 to 2023,656.49
Kirsten,Ankunding,AB654216C,2022 to 2023,385.33
Jimmy,Lockman,AB896164C,2022 to 2023,668.09
Maximus,Hansen,AB907483C,2022 to 2023,731.23
Beth,Hilll,AB577585C,2022 to 2023,456.25
Freda,Lynch,AB293565C,2022 to 2023,5.15
Haylee,Heller,AB310576C,2022 to 2023,227.02
Lonny,Stanton,AB653537C,2022 to 2023,203.19
Claude,Graham,AB591206C,2022 to 2023,429.35
Lambert,Dooley,AB397836C,2022 to 2023,331.35
Dallas,Moore,AB861878C,2022 to 2023,551.95
Onie,Franecki,AB243799C,2022 to 2023,818.22
Wilmer,Bruen,AB148785C,2022 to 2023,377.52
Johanna,Smitham,AB404381C,2022 to 2023,854.51
Bernhard,Orn,AB210619C,2022 to 2023,456.93
Loy,Smitham,AB741752C,2022 to 2023,42.13
Mireille,Rath,AB958137C,2022 to 2023,823.78
Santiago,Jones,AB514389C,2022 to 2023,481.82
Gay,Leffler,AB111685C,2022 to 2023,205.18
Amaya,Treutel,AB902130C,2022 to 2023,948.16
Genoveva,Bode,AB422270C,2022 to 2023,380.68
Adelia,Batz,AB482798C,2022 to 2023,419.66
Zelma,Mante,AB774268C,2022 to 2023,139.95
Eldon,Pagac,AB162538C,2022 to 2023,230.43
Luciano,Hansen,AB892432C,2022 to 2023,301.93
Salvatore,Bahringer,AB188216C,2022 to 2023,835.50
Vincenzo,Swaniawski,AB480763C,2022 to 2023,423.24
Bobbie,Kemmer,AB402888C,2022 to 2023,544.75
Emmet,Wiza,AB414609C,2022 to 2023,377.84
Delilah,Mitchell,AB822232C,2022 to 2023,772.60
Martine,Lindgren,AB578274C,2022 to 2023,585.87
Bettye,McClure,AB689756C,2022 to 2023,131.27
Brice,Swaniawski,AB106134C,2022 to 2023,898.92
Hugh,Satterfield,AB969370C,2022 to 2023,536.71
Daphne,Ferry,AB792378C,2022 to 2023,512.48
Everett,Hettinger,AB242849C,2022 to 2023,666.34
Gaylord,Mayert,AB841373C,2022 to 2023,485.71
Nona,Aufderhar,AB873505C,2022 to 2023,129.12
Lelah,Bayer,AB859765C,2022 to 2023,303.26
Stan,Larson,AB316505C,2022 to 2023,848.03
Rosella,Kozey,AB844970C,2022 to 2023,771.16
Bernie,Littel,AB815993C,2022 to 2023,481.49
Erich,Labadie,AB746007C,2022 to 2023,6.06
Maxie,Pfeffer,AB220058C,2022 to 2023,102.47
Cary,Rath,AB691048C,2022 to 2023,753.70
Fae,Crooks,AB946050C,2022 to 2023,870.22
Keven,Kreiger,AB294668C,2022 to 2023,944.87
Jewell,McLaughlin,AB785205C,2022 to 2023,466.36
Rodrick,Littel,AB182124C,2022 to 2023,430.69
Deshaun,O'Keefe,AB751517C,2022 to 2023,573.10
Ernie,O'Connell,AB424168C,2022 to 2023,858.07
Rosetta,Sporer,AB264139C,2022 to 2023,351.92
Myrtis,Champlin,AB439107C,2022 to 2023,416.97
Sheridan,Frami,AB481630C,2022 to 2023,537.87
Fannie,Goyette,AB307660C,2022 to 2023,303.66
Golden,Upton,AB278929C,2022 to 2023,648.39
Laverne,Hettinger,AB299249C,2022 to 2023,161.79
Willie,Kirlin,AB612788C,2022 to 2023,502.87
Katlynn,Rohan,AB504991C,2022 to 2023,271.13
Joe,Vandervort,AB681819C,2022 to 2023,473.60
Ottis,Wintheiser,AB872454C,2022 to 2023,709.03
Lilly,Dach,AB987002C,2022 to 2023,244.39
Nicklaus,Abernathy,AB357827C,2022 to 2023,870.20
Jack,Moore,AB723925C,2022 to 2023,841.25
Danika,Leuschke,AB191301C,2022 to 2023,151.94
Hanna,Moen,AB166514C,2022 to 2023,315.21
Darion,Jenkins,AB580135C,2022 to 2023,97.73
Emmie,Armstrong,AB494898C,2022 to 2023,222.04
Constance,Lebsack,AB179018C,2022 to 2023,236.66
Hubert,Bogan,AB206004C,2022 to 2023,17.82
Amira,Stracke,AB781981C,2022 to 2023,586.04
Madge,Lind,AB826365C,2022 to 2023,446.84
Jordy,Hane,AB846311C,2022 to 2023,480.54
Genoveva,Nader,AB460668C,2022 to 2023,18.02
Sabrina,Roberts,AB629109C,2022 to 2023,212.09
Mylene,Grimes,AB563832C,2022 to 2023,334.19
Carrie,Kub,AB682492C,2022 to 2023,415.84
Carlee,Emard,AB845321C,2022 to 2023,177.33
Kellen,Heathcote,AB407691C,2022 to 2023,691.89
Antonio,Steuber,AB442529C,2022 to 2023,602.38
Destiney,Emmerich,AB933426C,2022 to 2023,409.37
Haleigh,Armstrong,AB713960C,2022 to 2023,719.25
Geoffrey,Beer,AB700695C,2022 to 2023,669.32
Damian,Rutherford,AB143410C,2022 to 2023,483.04
Alyson,Legros,AB661540C,2022 to 2023,453.32
Maymie,Wisozk,AB523507C,2022 to 2023,244.49
Willis,Jast,AB573596C,2022 to 2023,713.63
Alia,West,AB284703C,2022 to 2023,721.59
Ewell,Hand,AB161114C,2022 to 2023,441.41
Emory,Feest,AB111034C,2022 to 2023,28.00
Nils,Grimes,AB984042C,2022 to 2023,565.46
Linnie,Purdy,AB554879C,2022 to 2023,612.15
Kaylee,Orn,AB882208C,2022 to 2023,561.57
Pamela,Stehr,AB833562C,2022 to 2023,799.67
Bernardo,Denesik,AB887108C,2022 to 2023,743.59
Ansel,Zulauf,AB129602C,2022 to 2023,804.35
Blair,Murazik,AB153029C,2022 to 2023,640.59
Andres,Stoltenberg,AB589474C,2022 to 2023,210.07
Ahmed,Kulas,AB780090C,2022 to 2023,266.97
Daphney,Bergnaum,AB679456C,2022 to 2023,191.39
Maximillia,Ritchie,AB163700C,2022 to 2023,112.67
Nico,Lowe,AB698011C,2022 to 2023,913.96
Bonnie,Bailey,AB269975C,2022 to 2023,38.53
Matilda,Christiansen,AB485577C,2022 to 2023,532.15
Susie,McLaughlin,AB706220C,2022 to 2023,466.64
Edwin,Schumm,AB543461C,2022 to 2023,883.97
Stanford,Aufderhar,AB382727C,2022 to 2023,468.60
Katheryn,Hickle,AB977919C,2022 to 2023,92.37
Lesly,Kunze,AB528856C,2022 to 2023,900.91
Allan,Goodwin,AB753036C,2022 to 2023,885.76
Heidi,Reichel,AB685885C,2022 to 2023,672.14
Annie,Klein,AB946484C,2022 to 2023,770.35
Gerard,Rogahn,AB279563C,2022 to 2023,34.77
Clara,Konopelski,AB297863C,2022 to 2023,353.40
Jerome,Toy,AB432313C,2022 to 2023,404.92
Destany,Stracke,AB964380C,2022 to 2023,361.23
Pascale,Hamill,AB891503C,2022 to 2023,780.73
Bianka,Jacobi,AB328957C,2022 to 2023,289.28
Tyrell,Sanford,AB824200C,2022 to 2023,310.04
Noe,Ernser,AB410915C,2022 to 2023,214.20
Haylee,Kshlerin,AB449793C,2022 to 2023,876.45
Cletus,Spinka,AB169322C,2022 to 2023,658.75
Remington,Sanford,AB985959C,2022 to 2023,765.55
Tessie,Johnson,AB755622C,2022 to 2023,743.67
Eino,Borer,AB545422C,2022 to 2023,481.84
Keyon,Schowalter,AB586893C,2022 to 2023,305.82
Modesta,Quitzon,AB570634C,2022 to 2023,652.66
Darrell,Goodwin,AB278726C,2022 to 2023,250.69
Stephanie,Koss,AB760523C,2022 to 2023,527.34
Rosina,Predovic,AB440781C,2022 to 2023,291.06
Flossie,Hahn,AB347841C,2022 to 2023,286.62
Dean,Greenfelder,AB838941C,2022 to 2023,620.26
Skylar,Erdman,AB495586C,2022 to 2023,245.20
Jedediah,Satterfield,AB772251C,2022 to 2023,434.52
Noemie,Pfeffer,AB780915C,2022 to 2023,977.55
Robb,Senger,AB102451C,2022 to 2023,381.47
Serena,Willms,AB429957C,2022 to 2023,121.65
Elta,Hintz,AB234278C,2022 to 2023,302.59
Eleazar,Dicki,AB154750C,2022 to 2023,556.54
Noemi,McDermott,AB756221C,2022 to 2023,119.71
Sadye,Deckow,AB157815C,2022 to 2023,527.44
Karlie,Ondricka,AB752425C,2022 to 2023,568.83
Eulah,Murray,AB105423C,2022 to 2023,83.47
Hosea,Effertz,AB792392C,2022 to 2023,65.28
Cynthia,Champlin,AB989611C,2022 to 2023,864.97
Francesca,Fahey,AB470142C,2022 to 2023,170.31
Ettie,Wilkinson,AB220375C,2022 to 2023,322.01
Harold,Doyle,AB752046C,2022 to 2023,789.95
Clint,Von,AB586097C,2022 to 2023,6.66
Mary,Feil,AB656505C,2022 to 2023,823.88
Alison,Ritchie,AB706396C,2022 to 2023,447.49
Emmie,Ondricka,AB677433C,2022 to 2023,155.18
Icie,Schuster,AB888642C,2022 to 2023,95.17
Ericka,Lemke,AB824491C,2022 to 2023,194.31
Hunter,Terry,AB779823C,2022 to 2023,134.19
Cathrine,Runolfsdottir,AB503772C,2022 to 2023,940.07
Marilie,Bruen,AB326690C,2022 to 2023,284.77
Lavina,Carroll,AB696676C,2022 to 2023,883.19
Ernestine,Mann,AB480303C,2022 to 2023,622.66
Donnie,Jewess,AB166223C,2022 to 2023,598.68
Clyde,Kuhn,AB872181C,2022 to 2023,658.60
Francisca,Haag,AB332890C,2022 to 2023,308.92
Lester,Kris,AB224502C,2022 to 2023,295.85
Gerald,Medhurst,AB998508C,2022 to 2023,67.68
Sabrina,Gottlieb,AB342768C,2022 to 2023,803.80
Alvina,Kling,AB652338C,2022 to 2023,753.60
Raphaelle,Walsh,AB257039C,2022 to 2023,622.89
Amos,Beatty,AB135614C,2022 to 2023,1.87
Dock,Bahringer,AB405197C,2022 to 2023,670.55
Ferne,Dooley,AB734520C,2022 to 2023,3.11
Addison,O'Keefe,AB931631C,2022 to 2023,214.18
Sonya,Hane,AB956487C,2022 to 2023,710.64
Antwan,O'Connell,AB874804C,2022 to 2023,210.17
Letitia,Spencer,AB566233C,2022 to 2023,20.23
Luz,Schmidt,AB702894C,2022 to 2023,920.19
Margot,Muller,AB717524C,2022 to 2023,772.62
Connor,Bergstrom,AB467962C,2022 to 2023,987.83
Marco,Harber,AB370367C,2022 to 2023,318.73
Juanita,Daniel,AB789767C,2022 to 2023,318.13
Chloe,Cronin,AB854668C,2022 to 2023,280.65
Raymond,O'Hara,AB552285C,2022 to 2023,970.58
Antwan,Nicolas,AB404743C,2022 to 2023,894.23
Anastacio,Feil,AB501927C,2022 to 2023,441.76
Otho,Armstrong,AB485551C,2022 to 2023,23.23
Stewart,Murazik,AB536783C,2022 to 2023,876.85
Leta,O'Reilly,AB109623C,2022 to 2023,728.87
Jaylan,Kulas,AB386269C,2022 to 2023,508.42
Ryann,Herzog,AB141488C,2022 to 2023,850.56
Jany,Dibbert,AB531919C,2022 to 2023,735.65
Maximilian,Cronin,AB329600C,2022 to 2023,105.63
Loy,Sanford,AB586494C,2022 to 2023,11.60
Elroy,Gutmann,AB109668C,2022 to 2023,967.63
Velda,Kirlin,AB868307C,2022 to 2023,530.47
D'angelo,McCullough,AB872230C,2022 to 2023,700.16
Valentina,Robel,AB142383C,2022 to 2023,97.06
London,Lindgren,AB835983C,2022 to 2023,64.24
Mylene,Gislason,AB859032C,2022 to 2023,277.72
Kira,Kutch,AB616219C,2022 to 2023,807.75
Marilyne,Walker,AB191125C,2022 to 2023,160.15
Jacynthe,Bosco,AB567626C,2022 to 2023,798.75
Luther,Jaskolski,AB515662C,2022 to 2023,524.30
Jazlyn,Lockman,AB193102C,2022 to 2023,42.63
Nikko,Kshlerin,AB389474C,2022 to 2023,176.11
Mollie,Harris,AB352756C,2022 to 2023,466.43
Charlotte,Franecki,AB182395C,2022 to 2023,65.51
Stone,White,AB637693C,2022 to 2023,539.63
Waldo,Kessler,AB429255C,2022 to 2023,106.16
Andre,Grant,AB308045C,2022 to 2023,527.03
Hubert,Parisian,AB878149C,2022 to 2023,528.34
Deon,Von,AB926831C,2022 to 2023,771.15
Dina,Gleichner,AB681413C,2022 to 2023,14.12
Lynn,Rice,AB437127C,2022 to 2023,84.69
Verna,Hand,AB248809C,2022 to 2023,839.52
Alverta,Witting,AB586252C,2022 to 2023,900.16
Herbert,Bogan,AB161855C,2022 to 2023,249.61
Gilberto,Konopelski,AB156073C,2022 to 2023,376.22
Santiago,White,AB843720C,2022 to 2023,988.05
Phoebe,Lemke,AB537239C,2022 to 2023,591.33
Madalyn,Kuvalis,AB229442C,2022 to 2023,454.64
Wayne,Rodriguez,AB502512C,2022 to 2023,962.61
Garrison,Maggio,AB633687C,2022 to 2023,325.26
Malcolm,Cruickshank,AB901529C,2022 to 2023,894.81
Hipolito,Becker,AB724787C,2022 to 2023,184.06
Sharon,Wiegand,AB587304C,2022 to 2023,654.21
Katlyn,Rutherford,AB700523C,2022 to 2023,209.16
Justus,Powlowski,AB251683C,2022 to 2023,743.76
Sheldon,Reichel,AB982856C,2022 to 2023,268.58
Sydnee,West,AB836800C,2022 to 2023,330.26
Arden,Block,AB153578C,2022 to 2023,913.66
Violet,Gorczany,AB626803C,2022 to 2023,503.14
Hector,Kunde,AB617471C,2022 to 2023,190.26
Llewellyn,Padberg,AB656849C,2022 to 2023,28.81
Howell,Doyle,AB539024C,2022 to 2023,164.99
Zackary,Cruickshank,AB428986C,2022 to 2023,880.54
Anastacio,Sauer,AB120057C,2022 to 2023,260.02
Jena,Lubowitz,AB527333C,2022 to 2023,359.86
Nedra,Harvey,AB359037C,2022 to 2023,248.22
Jess,Carroll,AB286259C,2022 to 2023,532.69
D'angelo,Graham,AB240168C,2022 to 2023,578.58
Ceasar,Stoltenberg,AB534464C,2022 to 2023,680.25
Daren,Abbott,AB500931C,2022 to 2023,672.52
Iva,Turcotte,AB424225C,2022 to 2023,526.65
Giles,Feil,AB447568C,2022 to 2023,78.69
Tess,Rice,AB499110C,2022 to 2023,473.30
Jensen,Prohaska,AB312902C,2022 to 2023,220.82
Hermann,Kohler,AB541793C,2022 to 2023,292.49
Catharine,Schoen,AB439783C,2022 to 2023,250.19
Rosetta,Gutkowski,AB903910C,2022 to 2023,850.05
Jayda,Jones,AB616087C,2022 to 2023,56.30
Willis,Feil,AB467071C,2022 to 2023,456.03
Skylar,Hartmann,AB847881C,2022 to 2023,390.96
Caesar,Haag,AB360096C,2022 to 2023,630.40
Frieda,Hauck,AB769763C,2022 to 2023,61.28
Solon,Waelchi,AB378580C,2022 to 2023,640.01
Josiane,Feest,AB941088C,2022 to 2023,585.49
Yasmeen,Goyette,AB165239C,2022 to 2023,611.62
Rosalind,Weber,AB715460C,2022 to 2023,171.27
Antonette,Windler,AB533970C,2022 to 2023,440.88
Dolores,Frami,AB467617C,2022 to 2023,100.04
Velva,Willms,AB847241C,2022 to 2023,788.97
Lexi,Carter,AB803523C,2022 to 2023,338.81
Chase,Bartoletti,AB933966C,2022 to 2023,190.36
Brennan,Lueilwitz,AB777691C,2022 to 2023,444.90
Evert,Metz,AB283653C,2022 to 2023,877.82
Freda,Keeling,AB902463C,2022 to 2023,688.40
Solon,Ferry,AB382998C,2022 to 2023,42.40
Madilyn,McClure,AB849742C,2022 to 2023,527.01
Jacey,Stokes,AB928994C,2022 to 2023,867.99
Corbin,Howell,AB254047C,2022 to 2023,968.29
Jeffry,Gerhold,AB624375C,2022 to 2023,378.17
Antoinette,Considine,AB233771C,2022 to 2023,724.48
Sasha,Spencer,AB848953C,2022 to 2023,578.95
Kraig,Brakus,AB176263C,2022 to 2023,2.36
Alden,Gleichner,AB213144C,2022 to 2023,262.01
Corene,Durgan,AB439128C,2022 to 2023,103.97
Heather,Wolff,AB180052C,2022 to 2023,256.74
Kattie,Kertzmann,AB455387C,2022 to 2023,11.80
Godfrey,Dickens,AB742069C,2022 to 2023,176.45
Eliane,Gaylord,AB592442C,2022 to 2023,526.44
Alivia,Hyatt,AB530987C,2022 to 2023,15.49
Helmer,Graham,AB411555C,2022 to 2023,994.02
Alfreda,Larson,AB350472C,2022 to 2023,864.08
Eloisa,Gaylord,AB903265C,2022 to 2023,264.71
Madonna,Mertz,AB639242C,2022 to 2023,908.00
Rowena,Zulauf,AB452388C,2022 to 2023,286.03
Gwendolyn,Wolff,AB547025C,2022 to 2023,127.42
Krystina,Becker,AB781566C,2022 to 2023,760.81
Trinity,Simonis,AB191719C,2022 to 2023,574.69
Keenan,Halvorson,AB754607C,2022 to 2023,417.04
Isom,Kiehn,AB392572C,2022 to 2023,199.92
Anthony,Durgan,AB347239C,2022 to 2023,192.79
Anderson,Lehner,AB855583C,2022 to 2023,851.92
Tevin,McClure,AB101151C,2022 to 2023,370.54
Jimmy,Feest,AB247049C,2022 to 2023,285.45
Randall,Balistreri,AB668997C,2022 to 2023,370.01
Marshall,Nitzsche,AB446806C,2022 to 2023,712.05
Gertrude,Schmitt,AB837349C,2022 to 2023,224.59
Nasir,Mante,AB207231C,2022 to 2023,893.84
Elinor,Volkman,AB835858C,2022 to 2023,434.98
Grant,Romaguera,AB731641C,2022 to 2023,917.75
Heath,Wolf,AB723626C,2022 to 2023,108.72
Heidi,Altenwerth,AB745869C,2022 to 2023,606.45
Lydia,Gottlieb,AB986963C,2022 to 2023,32.08
Beryl,Rutherford,AB236108C,2022 to 2023,369.86
Jevon,Dach,AB117766C,2022 to 2023,773.25
Cleve,Langosh,AB133813C,2022 to 2023,169.97
Peter,Dach,AB485569C,2022 to 2023,590.29
Larue,Prosacco,AB479744C,2022 to 2023,473.01
Bo,Hegmann,AB577861C,2022 to 2023,155.57
Lucienne,Strosin,AB463011C,2022 to 2023,177.16
Kiera,Eichmann,AB671003C,2022 to 2023,546.52
Joana,Kemmer,AB440017C,2022 to 2023,429.49
Maude,Jewess,AB830588C,2022 to 2023,451.86
Gregorio,Romaguera,AB141129C,2022 to 2023,575.87
Fay,Durgan,AB386867C,2022 to 2023,919.26
Fay,Weber,AB195420C,2022 to 2023,72.16
Carlotta,Gislason,AB517816C,2022 to 2023,971.58
Daphnee,Heidenreich,AB802584C,2022 to 2023,999.25
Simone,Konopelski,AB616867C,2022 to 2023,474.91
Brandon,Spencer,AB979685C,2022 to 2023,893.92
Ambrose,Kuphal,AB587997C,2022 to 2023,477.08
Lelah,Friesen,AB563265C,2022 to 2023,192.83
Beatrice,Paucek,AB816180C,2022 to 2023,588.43
Claudia,Donnelly,AB832669C,2022 to 2023,997.15
Rogers,Reichert,AB616426C,2022 to 2023,586.52
Margret,McDermott,AB461522C,2022 to 2023,39.68
Xavier,Thiel,AB698213C,2022 to 2023,100.19
Alejandra,Ryan,AB798344C,2022 to 2023,23.59
Franz,Grimes,AB626108C,2022 to 2023,59.04
Sheridan,McLaughlin,AB770237C,2022 to 2023,507.20
Thaddeus,Sanford,AB731742C,2022 to 2023,631.53
Toni,Renner,AB449711C,2022 to 2023,462.03
Marilyne,Farrell,AB301565C,2022 to 2023,795.12
Bertrand,Hamill,AB641361C,2022 to 2023,734.21
Dayton,Kuvalis,AB605002C,2022 to 2023,423.90
Lonnie,Runte,AB379717C,2022 to 2023,668.49
Daija,Larkin,AB351204C,2022 to 2023,575.16
Araceli,Kozey,AB208853C,2022 to 2023,548.85
Ayla,Cummerata,AB498229C,2022 to 2023,295.93
Hilbert,Marvin,AB610351C,2022 to 2023,644.78
Ted,Daniel,AB367399C,2022 to 2023,815.08
Tabitha,Schroeder,AB183286C,2022 to 2023,438.80
Kurt,Crona,AB291328C,2022 to 2023,800.86
Sid,Steuber,AB685982C,2022 to 2023,701.84
Elyssa,Frami,AB829822C,2022 to 2023,299.96
Mckayla,Lowe,AB851185C,2022 to 2023,197.72
Torey,Wolf,AB580795C,2022 to 2023,841.08
Heath,Muller,AB264049C,2022 to 2023,287.73
Jeffrey,Spencer,AB211236C,2022 to 2023,585.87
Carolanne,Wilkinson,AB261132C,2022 to 2023,107.15
Sharon,Haag,AB265488C,2022 to 2023,761.47
Brooke,Stanton,AB453031C,2022 to 2023,530.35
Jade,Toy,AB634594C,2022 to 2023,378.79
Magdalena,Mayert,AB571799C,2022 to 2023,724.33
Benton,Schaefer,AB323264C,2022 to 2023,768.17
Jazmin,Bednar,AB725780C,2022 to 2023,871.49
Idell,Rempel,AB119068C,2022 to 2023,464.63
Emmalee,Ryan,AB212422C,2022 to 2023,805.49
Emory,Mosciski,AB820114C,2022 to 2023,823.73
Felicita,Baumbach,AB758498C,2022 to 2023,286.13
Mervin,Pagac,AB761346C,2022 to 2023,549.10
Johnson,Hansen,AB787413C,2022 to 2023,929.07
Margarita,Fadel,AB661996C,2022 to 2023,840.32
Dale,Hermann,AB912816C,2022 to 2023,618.64
Karolann,Medhurst,AB241278C,2022 to 2023,679.64
Georgiana,Labadie,AB545560C,2022 to 2023,688.94
Elyse,Frami,AB137882C,2022 to 2023,720.65
Josefina,Will,AB464279C,2022 to 2023,919.87
Edgar,Hartmann,AB967109C,2022 to 2023,280.52
Yadira,Hills,AB257242C,2022 to 2023,336.82
Jayson,Pacocha,AB929382C,2022 to 2023,577.69
Halie,Mohr,AB411959C,2022 to 2023,315.75
Olen,Kovacek,AB843212C,2022 to 2023,350.63
Isabelle,Corkery,AB703710C,2022 to 2023,50.93
Dustin,Rath,AB896264C,2022 to 2023,268.25
Milo,Langosh,AB644669C,2022 to 2023,194.20
Richard,Feest,AB513719C,2022 to 2023,203.08
Rita,Jast,AB273805C,2022 to 2023,861.35
Toy,Lowe,AB864753C,2022 to 2023,513.68
Josiah,Torp,AB641004C,2022 to 2023,246.25
Claire,Cremin,AB915188C,2022 to 2023,563.15
Talia,Hammes,AB151593C,2022 to 2023,930.39
Lorenz,Ratke,AB250570C,2022 to 2023,293.77
Ramon,Heaney,AB292156C,2022 to 2023,520.84
Maurine,Sawayn,AB301037C,2022 to 2023,588.52
Maxime,Friesen,AB762839C,2022 to 2023,763.98
Mae,Bradtke,AB570998C,2022 to 2023,856.91
Audra,Bartoletti,AB377292C,2022 to 2023,990.06
Mose,Dooley,AB983427C,2022 to 2023,910.76
Rudolph,Simonis,AB609171C,2022 to 2023,596.67
Josh,Blick,AB341065C,2022 to 2023,768.70
Adolphus,Cartwright,AB460307C,2022 to 2023,347.45
Sean,Treutel,AB361859C,2022 to 2023,362.05
Malvina,Hartmann,AB133243C,2022 to 2023,198.43
Rubie,O'Kon,AB187539C,2022 to 2023,345.72
Anabelle,Cronin,AB185488C,2022 to 2023,237.67
Kennedy,Mohr,AB910907C,2022 to 2023,134.58
Augusta,Howe,AB920337C,2022 to 2023,197.20
Gonzalo,Mosciski,AB212044C,2022 to 2023,97.82
Carolyne,Ziemann,AB768406C,2022 to 2023,819.64
Winston,Cole,AB179961C,2022 to 2023,473.01
Marie,Metz,AB101978C,2022 to 2023,330.51
Laurie,Collins,AB226467C,2022 to 2023,384.08
Elnora,O'Keefe,AB279916C,2022 to 2023,216.34
Olin,Balistreri,AB336587C,2022 to 2023,770.25
Dock,Nicolas,AB557153C,2022 to 2023,405.61
Enola,Hackett,AB971288C,2022 to 2023,580.48
Kendrick,Spinka,AB379937C,2022 to 2023,406.88
