First name,Last name,National Insurance number,Type of protection held for the crystallisation (see LTA certificate),Protection type reference,Total amount crystallised (£),Date the benefit was crystallised (XX/XX/XXXX)
Cecil,Harber,AB282309C,Individual protection 2014,36946733,112.92,2022-11-08
Michael,Streich,AB579667C,Fixed protection,89748410,559.89,2022-11-08
Rosalind,Pfannerstill,AB840134C,Fixed protection,78851642,321.45,2022-11-03
Chet,McKenzie,AB367678C,Enhanced lifetime allowance,46531368,655.35,2022-11-04
Dorothea,Bahringer,AB233623C,Fixed protection 2014,58062115,930.01,2022-11-01
Keira,Nikolaus,AB705596C,Fixed protection,91841458,451.68,2022-11-01
Joy,Mayert,AB389697C,Fixed protection 2014,35540144,659.46,2022-11-05
Berenice,Mertz,AB361086C,Enhanced protection,75636881,214.79,2022-11-06
Rosetta,Mohr,AB476932C,Enhanced protection,46117980,371.98,2022-11-08
Mason,Mertz,AB209644C,Fixed protection 2016,44200258,902.33,2022-11-06
Imogene,Mitchell,AB901977C,Fixed protection 2014,41852986,719.76,2022-11-06
Vincenzo,Greenfelder,AB964616C,Enhanced lifetime allowance,76777818,631.06,2022-11-04
Reyna,Adams,AB554961C,Enhanced lifetime allowance,69821724,488.46,2022-11-04
Randall,Rippin,AB910560C,Enhanced protection,27383580,247.75,2022-11-02
Lizeth,Windler,AB553001C,Enhanced protection,71942190,427.21,2022-11-03
Kathryne,Strosin,AB759018C,Individual protection 2014,42219766,386.36,2022-11-01
Jeff,Herman,AB443523C,Enhanced lifetime allowance,19947791,624.43,2022-11-07
Henry,Simonis,AB892328C,Fixed protection 2014,68524611,21.81,2022-11-02
Leola,Nitzsche,AB749886C,Fixed protection 2016,15339009,102.28,2022-11-01
Oleta,Sipes,AB718843C,Fixed protection,77026402,631.04,2022-11-02
Pablo,Jerde,AB762683C,Enhanced lifetime allowance,16899378,30.85,2022-11-03
Kristian,Ernser,AB102598C,Fixed protection,21606434,665.94,2022-11-05
Alison,Hermiston,AB778203C,Individual protection 2014,89158704,451.93,2022-11-02
Milo,Oberbrunner,AB183279C,Individual protection 2016,50197983,930.55,2022-11-01
Derick,Luettgen,AB207156C,Enhanced protection,45817921,756.75,2022-11-03
Lorna,Schulist,AB395154C,Fixed protection,21076321,862.86,2022-11-04
Gage,Collins,AB853390C,Fixed protection 2014,66001918,596.05,2022-11-02
Maximo,Kling,AB306765C,Individual protection 2014,48130991,557.21,2022-11-04
Tevin,Legros,AB440762C,Enhanced lifetime allowance,36363935,49.21,2022-11-04
Taylor,Pfeffer,AB363752C,Enhanced lifetime allowance,30080514,289.05,2022-11-02
Clint,Wyman,AB835120C,Enhanced lifetime allowance,55000941,804.45,2022-11-06
Brian,Konopelski,AB692177C,Individual protection 2014,74698171,243.22,2022-11-03
Amelia,Bogan,AB275702C,Fixed protection 2014,54723625,937.81,2022-11-06
Maymie,Schmeler,AB960837C,Fixed protection 2016,31203914,698.68,2022-11-03
Karlie,Hettinger,AB914519C,Enhanced protection,86267283,70.71,2022-11-06
Dashawn,Reichert,AB740191C,Enhanced protection,27780686,399.14,2022-11-05
Cathryn,Cruickshank,AB624521C,Enhanced protection,83327869,844.32,2022-11-05
Lindsay,Cronin,AB484590C,Fixed protection,10206756,875.32,2022-11-04
Elton,Jenkins,AB891593C,Fixed protection,94037149,946.15,2022-11-07
Bartholome,Fay,AB389507C,Individual protection 2016,75231231,585.36,2022-11-06
Laila,Murphy,AB617217C,Enhanced lifetime allowance,17842728,135.06,2022-11-08
Nyah,Stiedemann,AB191179C,Enhanced protection,13865726,688.59,2022-11-02
Freeda,Conn,AB425342C,Fixed protection,44170898,957.85,2022-11-01
Marilou,Thiel,AB158888C,Enhanced lifetime allowance,95240035,669.80,2022-11-02
Wiley,Wyman,AB327870C,Fixed protection 2016,67486932,923.48,2022-11-02
Johnathon,Jaskolski,AB769547C,Individual protection 2014,76157783,374.88,2022-11-01
Maya,Torp,AB584951C,Fixed protection 2014,58568851,391.60,2022-11-06
Antonina,Auer,AB954114C,Individual protection 2014,95278881,349.97,2022-11-06
Tressa,Swift,AB458509C,Enhanced protection,39716850,798.64,2022-11-01
Keaton,Raynor,AB350419C,Fixed protection 2016,77833972,582.46,2022-11-03
Jerald,Greenholt,AB156181C,Individual protection 2014,10237799,319.95,2022-11-04
Rowan,O'Keefe,AB148346C,Individual protection 2016,22912284,220.85,2022-11-01
Porter,Mills,AB160546C,Fixed protection 2014,61409538,248.84,2022-11-03
Antonette,Cruickshank,AB143484C,Enhanced lifetime allowance,14195483,783.50,2022-11-01
Jayson,Block,AB111518C,Enhanced lifetime allowance,60563640,60.39,2022-11-07
Anna,Padberg,AB962637C,Fixed protection 2016,58424777,253.12,2022-11-02
Lelah,Wuckert,AB563950C,Enhanced protection,50805400,907.16,2022-11-08
Una,Kertzmann,AB705956C,Individual protection 2016,97959545,887.62,2022-11-06
Kelton,Pfannerstill,AB255375C,Enhanced lifetime allowance,30478447,269.53,2022-11-04
Piper,Christiansen,AB580915C,Fixed protection 2014,10581515,159.22,2022-11-01
Shad,Schulist,AB733719C,Fixed protection,54229566,610.62,2022-11-06
Cristopher,Hills,AB747890C,Enhanced lifetime allowance,88812422,379.75,2022-11-03
Joelle,Jakubowski,AB600452C,Fixed protection,61233896,437.99,2022-11-05
Ervin,West,AB281109C,Enhanced lifetime allowance,65445456,753.16,2022-11-07
Malvina,Turcotte,AB750066C,Enhanced protection,26402816,217.80,2022-11-07
Bernadette,Shanahan,AB163983C,Individual protection 2016,17608620,545.71,2022-11-04
Kyleigh,Armstrong,AB277390C,Fixed protection 2016,43830960,442.56,2022-11-06
Timothy,McClure,AB936519C,Enhanced protection,57908704,995.55,2022-11-02
Dalton,Bartoletti,AB949306C,Fixed protection,96706826,46.40,2022-11-02
Elsie,Jacobs,AB118149C,Individual protection 2014,19153448,603.11,2022-11-03
Evie,Graham,AB250262C,Fixed protection 2016,88612403,925.32,2022-11-03
Andre,Kuphal,AB415897C,Individual protection 2016,46982326,98.56,2022-11-07
Trinity,Kulas,AB644134C,Individual protection 2014,62701988,235.28,2022-11-01
Aniya,Rippin,AB101879C,Enhanced lifetime allowance,21344863,786.82,2022-11-02
Juanita,Swaniawski,AB810221C,Individual protection 2016,17894986,297.83,2022-11-05
Alvera,Gleason,AB931138C,Fixed protection,84326467,222.24,2022-11-02
Phyllis,Jast,AB315733C,Enhanced lifetime allowance,19630266,242.01,2022-11-03
Elena,Leffler,AB904980C,Individual protection 2016,74347432,43.90,2022-11-01
Bernice,Klein,AB434254C,Fixed protection 2016,89353334,172.43,2022-11-04
Wilbert,Kertzmann,AB103103C,Fixed protection 2014,34571239,69.47,2022-11-02
Tabitha,Rath,AB910411C,Fixed protection,60374426,972.42,2022-11-08
Dorian,Brakus,AB750739C,Fixed protection,90351138,163.78,2022-11-07
Aisha,Jaskolski,AB110638C,Fixed protection,10799192,736.61,2022-11-03
Eveline,Abbott,AB712866C,Enhanced protection,85159765,319.91,2022-11-05
Francisca,Botsford,AB436616C,Fixed protection 2014,43657853,927.72,2022-11-02
Ethel,Bergnaum,AB377758C,Fixed protection 2014,47737425,780.02,2022-11-03
Kelsi,Reynolds,AB789530C,Enhanced lifetime allowance,58107444,524.05,2022-11-01
Laverna,Wyman,AB227177C,Fixed protection 2016,28935427,521.55,2022-11-06
Lillian,Will,AB164500C,Individual protection 2014,20617603,886.04,2022-11-03
Norene,Muller,AB702999C,Enhanced lifetime allowance,83370062,41.13,2022-11-07
Karina,Wolf,AB414605C,Fixed protection 2016,91275527,168.23,2022-11-08
Minnie,Funk,AB410710C,Fixed protection 2014,44205174,919.67,2022-11-04
Golda,Yundt,AB123136C,Enhanced lifetime allowance,67537897,992.59,2022-11-03
Coby,Douglas,AB370464C,Enhanced lifetime allowance,92713634,206.49,2022-11-05
Johnson,Paucek,AB478051C,Individual protection 2014,46026121,7.23,2022-11-05
Jude,Cartwright,AB724116C,Enhanced lifetime allowance,93704982,843.32,2022-11-04
Kassandra,Botsford,AB745030C,Enhanced protection,18036740,557.94,2022-11-04
Daniella,Murray,AB363482C,Enhanced protection,76154904,629.06,2022-11-01
Adelia,Bins,AB138688C,Fixed protection 2014,71517783,916.75,2022-11-07
Laurie,Swaniawski,AB968378C,Individual protection 2016,26218936,264.84,2022-11-02
Elbert,Friesen,AB371613C,Individual protection 2014,57564283,62.54,2022-11-04
Shakira,Luettgen,AB131156C,Individual protection 2016,43694577,41.83,2022-11-07
Evert,Herzog,AB896779C,Individual protection 2014,81391969,893.03,2022-11-04
Rita,Gerlach,AB666096C,Enhanced lifetime allowance,13755268,329.56,2022-11-05
Rusty,Schimmel,AB637195C,Fixed protection 2016,93455819,74.39,2022-11-02
Rowland,Larson,AB710159C,Fixed protection 2014,19946797,607.90,2022-11-04
Yasmin,Kuphal,AB288062C,Enhanced protection,28344272,558.34,2022-11-04
Isom,Bode,AB173539C,Fixed protection,83592695,217.81,2022-11-07
Sheila,Walsh,AB951373C,Fixed protection 2016,74661332,328.93,2022-11-05
Adan,Langworth,AB284266C,Fixed protection 2016,89892517,127.23,2022-11-06
Enoch,Nienow,AB488199C,Individual protection 2016,65028774,989.59,2022-11-06
Flavie,Runolfsson,AB859890C,Enhanced protection,36924850,887.05,2022-11-02
Santina,Zemlak,AB909647C,Fixed protection 2014,68601667,880.30,2022-11-04
Abdiel,Hyatt,AB209173C,Enhanced protection,46006058,853.43,2022-11-07
Nakia,Raynor,AB843378C,Fixed protection,34848420,231.16,2022-11-02
Ward,Spinka,AB463196C,Enhanced protection,92464525,481.69,2022-11-01
Eunice,Marvin,AB862784C,Fixed protection,88237302,12.65,2022-11-05
Rhett,Price,AB222067C,Fixed protection,36173170,461.93,2022-11-08
Mylene,Hoeger,AB640817C,Enhanced lifetime allowance,32977974,206.25,2022-11-06
Trinity,Kris,AB881601C,Fixed protection 2014,58743009,235.84,2022-11-01
Reuben,Reichel,AB138824C,Fixed protection 2014,29669570,182.92,2022-11-08
Earnestine,Durgan,AB378490C,Fixed protection,31528879,335.66,2022-11-03
Adell,Crooks,AB347195C,Fixed protection 2014,80187386,888.71,2022-11-03
Nathaniel,Bogan,AB719131C,Fixed protection 2014,31265675,649.33,2022-11-04
Ocie,Muller,AB247670C,Fixed protection,69176544,528.55,2022-11-08
Jazmyn,Kunze,AB330014C,Fixed protection 2016,83887374,222.19,2022-11-01
Taylor,Beatty,AB516711C,Individual protection 2014,61426579,690.02,2022-11-08
Gail,Schinner,AB298523C,Fixed protection,30128051,296.49,2022-11-08
Lavada,Dietrich,AB907322C,Individual protection 2016,98806257,637.40,2022-11-08
Trinity,Shields,AB288829C,Fixed protection 2016,34352183,619.59,2022-11-03
Adolf,McLaughlin,AB293166C,Enhanced lifetime allowance,65454216,735.56,2022-11-02
Cora,Gaylord,AB251031C,Individual protection 2014,17681473,679.22,2022-11-02
Martin,Mills,AB125525C,Fixed protection,20828639,287.76,2022-11-07
Chaya,Collins,AB895852C,Individual protection 2016,21511657,654.77,2022-11-01
Pearlie,White,AB445395C,Individual protection 2016,89332789,915.68,2022-11-08
Dan,Hahn,AB998502C,Enhanced lifetime allowance,63634016,441.80,2022-11-02
Bryana,Donnelly,AB335132C,Fixed protection 2016,80926668,639.09,2022-11-05
Nicolas,Schuster,AB775237C,Enhanced lifetime allowance,34287766,825.74,2022-11-05
Rashawn,Rath,AB409595C,Individual protection 2014,36505184,554.61,2022-11-03
Herta,Gulgowski,AB368328C,Enhanced protection,47994077,388.54,2022-11-03
Anita,Langosh,AB459604C,Fixed protection,88234942,606.57,2022-11-07
Lucas,Funk,AB774031C,Individual protection 2016,82938215,911.82,2022-11-07
Ross,Lesch,AB777340C,Individual protection 2014,31498043,4.54,2022-11-08
Luther,Schultz,AB740371C,Enhanced protection,31552927,955.65,2022-11-06
Kenneth,Lemke,AB754734C,Fixed protection 2014,73782892,799.44,2022-11-05
Millie,Gislason,AB967451C,Individual protection 2014,53987543,289.41,2022-11-06
Rhea,Walker,AB163250C,Fixed protection 2014,14818840,860.76,2022-11-03
Retha,Grady,AB567383C,Fixed protection,27696026,3.40,2022-11-01
Randi,Rodriguez,AB489216C,Individual protection 2014,65680146,522.56,2022-11-04
Elmira,Smith,AB844265C,Fixed protection,56449043,637.61,2022-11-08
Tate,Aufderhar,AB958342C,Individual protection 2014,24874305,172.16,2022-11-08
Kameron,Rath,AB479296C,Enhanced lifetime allowance,61226822,74.81,2022-11-07
Talia,Franecki,AB178870C,Enhanced protection,98519721,922.27,2022-11-01
Samantha,Walter,AB839714C,Fixed protection 2016,25047172,815.74,2022-11-02
Orlo,Cummerata,AB313639C,Enhanced lifetime allowance,96333535,737.12,2022-11-04
Kendra,Olson,AB323156C,Individual protection 2014,48771631,634.52,2022-11-03
Buck,Abbott,AB532554C,Enhanced protection,33045013,590.70,2022-11-06
Filomena,Smith,AB485103C,Fixed protection 2016,75164996,748.37,2022-11-07
Peyton,Smitham,AB102046C,Fixed protection 2016,41533719,557.30,2022-11-02
Florida,Witting,AB773264C,Fixed protection 2014,75172485,692.80,2022-11-07
Dasia,Beer,AB822522C,Fixed protection 2014,76363734,724.29,2022-11-07
Devonte,Botsford,AB283673C,Fixed protection 2016,23417417,102.41,2022-11-02
Damaris,Abbott,AB895169C,Individual protection 2016,11259913,974.25,2022-11-03
Hobart,Kuphal,AB742508C,Fixed protection 2014,46251241,721.98,2022-11-06
Whitney,Barrows,AB180795C,Fixed protection 2016,62499194,346.97,2022-11-07
Mikayla,Schowalter,AB225817C,Fixed protection 2014,38176002,129.85,2022-11-05
Laurence,King,AB569545C,Enhanced lifetime allowance,70378077,729.85,2022-11-06
Franco,Hilll,AB878739C,Enhanced lifetime allowance,62425099,694.23,2022-11-02
Sunny,Shields,AB463340C,Enhanced lifetime allowance,36366725,770.90,2022-11-06
Haskell,Haley,AB227498C,Enhanced lifetime allowance,14673829,718.55,2022-11-06
Candelario,DuBuque,AB907808C,Fixed protection 2016,56297087,685.28,2022-11-07
Elliott,Balistreri,AB782581C,Enhanced protection,32057952,30.50,2022-11-03
Albertha,Quitzon,AB752285C,Individual protection 2016,96269696,952.86,2022-11-08
Jeremie,Berge,AB658749C,Fixed protection 2014,18338175,862.75,2022-11-07
Osbaldo,Bartell,AB965646C,Individual protection 2016,35558899,71.21,2022-11-06
Mariela,Luettgen,AB547292C,Fixed protection,47950525,705.13,2022-11-05
Ethelyn,Goldner,AB179757C,Fixed protection 2016,92058878,284.12,2022-11-01
Clint,Kuhlman,AB750425C,Fixed protection,32465446,941.65,2022-11-02
Alexandria,Wolff,AB647874C,Fixed protection,22813872,197.80,2022-11-02
Christian,Schaden,AB415045C,Enhanced lifetime allowance,94618768,286.35,2022-11-07
Johanna,Gottlieb,AB692301C,Individual protection 2014,21696334,246.58,2022-11-08
Bryana,Price,AB776752C,Enhanced protection,58195252,956.89,2022-11-07
Otho,Bartoletti,AB705530C,Fixed protection,13901567,446.46,2022-11-02
Dorcas,Kiehn,AB123363C,Individual protection 2014,61172221,248.25,2022-11-03
Fritz,Shields,AB596308C,Fixed protection 2016,84000933,623.57,2022-11-07
Electa,Fay,AB149465C,Individual protection 2016,83873529,780.23,2022-11-04
Arlie,Douglas,AB648429C,Enhanced protection,51808523,379.26,2022-11-01
Marlen,Stehr,AB379707C,Enhanced protection,49063967,232.29,2022-11-01
Freddy,Steuber,AB127603C,Fixed protection,49337705,141.93,2022-11-01
Brandy,Tremblay,AB733940C,Enhanced protection,75149622,353.04,2022-11-07
Sammie,Dickinson,AB225696C,Fixed protection 2016,98075620,698.83,2022-11-01
William,Bins,AB897503C,Fixed protection 2016,41136636,352.40,2022-11-07
Shaina,Bauch,AB293657C,Fixed protection 2014,12965195,189.94,2022-11-04
Damien,Feest,AB161406C,Individual protection 2016,63172893,919.63,2022-11-04
Saige,Thiel,AB747962C,Fixed protection 2016,18317899,206.77,2022-11-05
Maximilian,Gerhold,AB539209C,Individual protection 2016,96340463,900.56,2022-11-01
Maeve,Windler,AB740516C,Fixed protection,86678550,416.55,2022-11-02
Brandon,Corkery,AB320552C,Enhanced lifetime allowance,75690221,846.43,2022-11-02
Chaim,Abernathy,AB362402C,Enhanced protection,26217834,761.50,2022-11-02
Zita,Sporer,AB760429C,Fixed protection,40525668,933.06,2022-11-05
Therese,Funk,AB386585C,Enhanced protection,96320637,243.16,2022-11-06
Jameson,Stokes,AB157628C,Enhanced lifetime allowance,37424221,682.95,2022-11-04
David,Dickinson,AB857169C,Fixed protection 2014,58896820,313.30,2022-11-04
Ernestine,Wunsch,AB795478C,Enhanced lifetime allowance,36041197,864.17,2022-11-07
Rhoda,Mayert,AB352777C,Enhanced lifetime allowance,55005176,907.04,2022-11-06
Milan,Weimann,AB753733C,Fixed protection,93587900,821.28,2022-11-08
Colton,Kling,AB157697C,Enhanced protection,19758716,480.87,2022-11-05
Jon,Sanford,AB596912C,Enhanced lifetime allowance,67655017,171.98,2022-11-08
Ebba,Blick,AB698300C,Individual protection 2014,56297818,501.10,2022-11-07
Amir,Weber,AB357530C,Enhanced protection,54773140,757.37,2022-11-04
Karianne,Berge,AB467610C,Enhanced protection,49168836,500.02,2022-11-07
Chelsie,Ratke,AB359314C,Individual protection 2016,89291454,283.84,2022-11-07
Michale,Schultz,AB374342C,Individual protection 2014,99107851,507.12,2022-11-02
Tyler,Predovic,AB386811C,Fixed protection 2016,85694340,336.66,2022-11-02
Blaise,Batz,AB118986C,Fixed protection 2014,38669193,664.25,2022-11-04
Taya,Turcotte,AB681828C,Fixed protection 2014,64482648,781.36,2022-11-03
Anabel,Metz,AB966422C,Enhanced protection,14315189,356.89,2022-11-03
Akeem,Walsh,AB599206C,Fixed protection 2014,24809402,939.72,2022-11-01
Dessie,Hickle,AB100199C,Fixed protection 2016,14725595,384.52,2022-11-07
Claud,Jerde,AB376390C,Individual protection 2016,24207966,186.21,2022-11-01
Clara,Emard,AB907307C,Individual protection 2016,48316711,900.41,2022-11-04
Steve,Erdman,AB933868C,Individual protection 2016,76498290,20.71,2022-11-01
Juston,Bogan,AB648229C,Individual protection 2016,43818505,441.29,2022-11-08
Eric,Reynolds,AB251066C,Individual protection 2014,92765376,64.76,2022-11-07
Eula,Maggio,AB422435C,Fixed protection 2014,81817356,156.59,2022-11-03
Chaim,Braun,AB473402C,Fixed protection,21260873,58.56,2022-11-01
Noemy,Bayer,AB294083C,Individual protection 2014,10864608,400.44,2022-11-03
Jayson,Bailey,AB353196C,Enhanced lifetime allowance,93528680,45.33,2022-11-05
Dameon,Runolfsson,AB391924C,Fixed protection,67167691,561.38,2022-11-01
Yazmin,Ullrich,AB587529C,Fixed protection,14190020,915.31,2022-11-02
Hilbert,Spencer,AB796142C,Fixed protection,45455295,80.52,2022-11-04
Luella,Monahan,AB782982C,Individual protection 2014,52295808,597.30,2022-11-03
Evans,Rosenbaum,AB574313C,Individual protection 2016,24359548,470.35,2022-11-03
Tania,Hane,AB813024C,Individual protection 2014,42049214,364.76,2022-11-03
Dominique,Smitham,AB802117C,Individual protection 2014,79722872,313.85,2022-11-06
Barrett,Fritsch,AB621044C,Fixed protection 2016,96450875,459.19,2022-11-03
Emerson,Gorczany,AB606825C,Fixed protection 2014,75109671,92.89,2022-11-03
Nat,Braun,AB296765C,Enhanced protection,24482433,217.80,2022-11-07
Yessenia,Walter,AB386623C,Fixed protection 2016,53388733,89.15,2022-11-07
Darron,Sipes,AB570722C,Enhanced protection,59846153,174.44,2022-11-02
Roselyn,Schuster,AB837689C,Enhanced protection,48059871,834.71,2022-11-03
Dillan,Larkin,AB930655C,Individual protection 2014,19802227,399.59,2022-11-07
Christina,Stoltenberg,AB488699C,Enhanced protection,85833032,84.37,2022-11-03
Royce,Connelly,AB633934C,Fixed protection 2014,82334152,262.99,2022-11-05
Janae,Schmeler,AB641464C,Enhanced protection,53246661,756.77,2022-11-05
Anahi,Kilback,AB120974C,Enhanced protection,14802976,740.89,2022-11-02
Scotty,Kilback,AB587432C,Fixed protection 2016,19363290,607.18,2022-11-08
Adeline,Schneider,AB891665C,Fixed protection,51992973,424.47,2022-11-06
Krystel,Thompson,AB581363C,Enhanced lifetime allowance,74273304,551.32,2022-11-07
Charles,Durgan,AB676521C,Fixed protection 2014,99161580,800.71,2022-11-02
Edward,Beatty,AB660828C,Fixed protection 2016,91022289,165.12,2022-11-04
Haley,Schiller,AB120293C,Fixed protection 2014,75555162,637.39,2022-11-03
Florine,Shields,AB129303C,Fixed protection,83296764,648.68,2022-11-06
Lisa,Beier,AB476831C,Enhanced lifetime allowance,73913845,359.01,2022-11-07
Terrell,Schmitt,AB393661C,Fixed protection,42327378,577.82,2022-11-04
Zoie,Schmidt,AB618744C,Enhanced lifetime allowance,66583265,142.28,2022-11-05
Anahi,Graham,AB257837C,Enhanced protection,64042640,617.26,2022-11-08
Hazle,Lynch,AB538618C,Fixed protection 2016,68383640,366.32,2022-11-05
Devante,Paucek,AB880376C,Fixed protection,28920889,242.40,2022-11-06
Lesley,Conn,AB416844C,Fixed protection 2016,58324040,637.08,2022-11-05
Amie,Dicki,AB880342C,Fixed protection 2016,56383398,154.72,2022-11-06
Alexys,Breitenberg,AB914140C,Enhanced lifetime allowance,69312569,723.83,2022-11-04
Aiden,Lebsack,AB727675C,Enhanced protection,67200032,336.51,2022-11-06
