First name,Last name,National Insurance number,In which tax year was the annual allowance exceeded? (XXXX to XXXX),What is the total of the member's pension input amounts for all arrangements under the scheme in the tax year that the annual allowance was exceeded? (£)
Tyree,Hammes,AB716521C,2022 to 2023,331.43
Gideon,Grant,AB729255C,2022 to 2023,510.82
Ernestina,Nicolas,AB678636C,2022 to 2023,819.09
Neoma,McLaughlin,AB181578C,2022 to 2023,78.95
Suzanne,Maggio,AB406489C,2022 to 2023,840.42
Eliane,Prosacco,AB458886C,2022 to 2023,918.14
Clint,Satterfield,AB806714C,2022 to 2023,295.32
Pink,Koss,AB278422C,2022 to 2023,454.19
Clair,Zboncak,AB308301C,2022 to 2023,592.25
Zack,Hilpert,AB332207C,2022 to 2023,134.62
Anne,Metz,AB885271C,2022 to 2023,983.32
Christina,Bosco,AB748487C,2022 to 2023,829.20
Marguerite,Walker,AB276579C,2022 to 2023,308.54
Melba,Hammes,AB295639C,2022 to 2023,779.62
Madisyn,Nolan,AB314769C,2022 to 2023,474.98
Elvera,Keebler,AB776319C,2022 to 2023,622.47
Torrance,Bernhard,AB430234C,2022 to 2023,76.96
Lamont,Gutkowski,AB657057C,2022 to 2023,531.91
Mabel,Brown,AB308712C,2022 to 2023,994.09
Elian,Abbott,AB273554C,2022 to 2023,315.86
Golden,Keeling,AB642961C,2022 to 2023,574.41
Brad,Wuckert,AB705122C,2022 to 2023,411.17
Alia,Ankunding,AB881136C,2022 to 2023,240.77
Cornell,Schultz,AB307285C,2022 to 2023,933.20
Greyson,Corwin,AB870556C,2022 to 2023,908.67
Maia,Rosenbaum,AB303173C,2022 to 2023,405.27
Matilde,Von,AB795217C,2022 to 2023,645.41
Miguel,Kuphal,AB915797C,2022 to 2023,958.53
Sabrina,Bednar,AB652552C,2022 to 2023,85.71
Guillermo,Cruickshank,AB885757C,2022 to 2023,705.10
Reina,Macejkovic,AB799548C,2022 to 2023,277.92
Hilton,Brekke,AB749530C,2022 to 2023,959.97
Nick,Auer,AB241470C,2022 to 2023,622.54
Cayla,Simonis,AB359666C,2022 to 2023,434.50
Bennett,Rogahn,AB552101C,2022 to 2023,594.88
Pearlie,Raynor,AB515956C,2022 to 2023,39.62
Ewell,Metz,AB658614C,2022 to 2023,355.81
Gabriella,Jerde,AB900572C,2022 to 2023,53.21
Tod,Larkin,AB117143C,2022 to 2023,258.98
Vella,Mayer,AB627698C,2022 to 2023,681.54
Darrick,Dibbert,AB778282C,2022 to 2023,483.40
Ellsworth,Swift,AB416681C,2022 to 2023,400.89
Remington,Rutherford,AB334866C,2022 to 2023,436.39
Grayson,Morissette,AB422104C,2022 to 2023,45.95
Deontae,Schulist,AB830896C,2022 to 2023,523.10
Antwon,Reilly,AB566623C,2022 to 2023,928.56
Keara,Strosin,AB898960C,2022 to 2023,706.89
Ila,Toy,AB732611C,2022 to 2023,647.68
Brisa,Kiehn,AB794987C,2022 to 2023,527.73
Dee,Harber,AB510385C,2022 to 2023,677.10
Valentin,Johnston,AB144260C,2022 to 2023,528.45
Karlie,West,AB678555C,2022 to 2023,194.51
Zakary,Schinner,AB741099C,2022 to 2023,52.34
Mazie,Beahan,AB794763C,2022 to 2023,475.59
Ellie,Wehner,AB802368C,2022 to 2023,132.92
Flossie,Robel,AB257053C,2022 to 2023,569.58
Sarai,Medhurst,AB294228C,2022 to 2023,139.13
Luella,Bernier,AB363949C,2022 to 2023,792.77
Maximus,Carter,AB690337C,2022 to 2023,179.38
Israel,Armstrong,AB899575C,2022 to 2023,203.87
Ed,Abshire,AB186749C,2022 to 2023,335.26
Jarred,Dickens,AB713039C,2022 to 2023,37.08
Camryn,Okuneva,AB349243C,2022 to 2023,327.59
Percy,Metz,AB423253C,2022 to 2023,790.41
Elizabeth,Ziemann,AB364664C,2022 to 2023,146.88
Dino,Nitzsche,AB409728C,2022 to 2023,544.39
Jesus,Kuphal,AB220036C,2022 to 2023,836.30
Carol,Morissette,AB230829C,2022 to 2023,805.67
Winston,Wilkinson,AB158909C,2022 to 2023,153.48
Dakota,Heller,AB587092C,2022 to 2023,136.47
Tomas,Cole,AB430075C,2022 to 2023,815.61
Felicita,Walker,AB860290C,2022 to 2023,725.71
Elza,Funk,AB519234C,2022 to 2023,887.41
Shayne,Collier,AB930962C,2022 to 2023,655.63
Laurine,Gottlieb,AB891359C,2022 to 2023,758.54
Lauryn,Weber,AB925973C,2022 to 2023,556.40
Sean,Senger,AB367536C,2022 to 2023,636.03
Estella,Reichel,AB738295C,2022 to 2023,60.64
Loren,Davis,AB422887C,2022 to 2023,417.95
Jessie,Herzog,AB116919C,2022 to 2023,127.39
Wilton,Lesch,AB958608C,2022 to 2023,566.88
Laurence,Kuvalis,AB100613C,2022 to 2023,554.21
Berniece,Gleichner,AB490974C,2022 to 2023,14.05
Dolly,Rippin,AB512243C,2022 to 2023,842.66
Darby,Morissette,AB574048C,2022 to 2023,948.96
Aryanna,Reinger,AB793354C,2022 to 2023,287.90
Hailey,O'Kon,AB151687C,2022 to 2023,643.22
Lea,Treutel,AB356480C,2022 to 2023,100.59
Deangelo,Haley,AB226598C,2022 to 2023,656.73
Seamus,Moen,AB102851C,2022 to 2023,36.25
Lurline,Schuppe,AB936651C,2022 to 2023,221.41
Rupert,Macejkovic,AB569046C,2022 to 2023,18.45
Garth,Waters,AB760469C,2022 to 2023,797.70
Laurence,Bode,AB479053C,2022 to 2023,344.48
Estevan,Breitenberg,AB242819C,2022 to 2023,204.18
Max,Kiehn,AB629242C,2022 to 2023,795.04
Jessica,Legros,AB205115C,2022 to 2023,8.78
Doyle,Block,AB411662C,2022 to 2023,78.79
Pansy,Fisher,AB791990C,2022 to 2023,281.85
Merle,Volkman,AB827567C,2022 to 2023,433.63
Rickie,Conn,AB925978C,2022 to 2023,648.42
Rogers,Nienow,AB552881C,2022 to 2023,185.42
Markus,Pfeffer,AB363018C,2022 to 2023,657.68
Jorge,Thompson,AB430953C,2022 to 2023,839.00
Samanta,Mraz,AB563921C,2022 to 2023,390.81
Susanna,Graham,AB353117C,2022 to 2023,7.71
Madelyn,Klocko,AB941347C,2022 to 2023,504.75
Koby,Koch,AB925498C,2022 to 2023,623.90
Ima,Upton,AB381918C,2022 to 2023,661.48
Chanelle,Parker,AB298369C,2022 to 2023,212.69
Ezra,Ward,AB374418C,2022 to 2023,944.25
Kaley,Stehr,AB260862C,2022 to 2023,491.22
Ressie,Kassulke,AB254160C,2022 to 2023,488.74
Dina,Nader,AB406627C,2022 to 2023,934.68
Melyna,Cummings,AB296463C,2022 to 2023,990.95
Travis,Mayert,AB415821C,2022 to 2023,986.33
Gina,Adams,AB703138C,2022 to 2023,176.44
Alysa,Kub,AB467405C,2022 to 2023,349.13
Jaclyn,Hahn,AB259446C,2022 to 2023,142.18
Fredy,Wyman,AB277360C,2022 to 2023,772.82
Ari,Zboncak,AB897855C,2022 to 2023,979.52
Esperanza,Treutel,AB416588C,2022 to 2023,564.83
Courtney,O'Connell,AB559950C,2022 to 2023,280.22
Karen,Rodriguez,AB105786C,2022 to 2023,338.25
Chasity,Bashirian,AB422162C,2022 to 2023,884.00
Johanna,Moore,AB609917C,2022 to 2023,342.25
Cooper,Adams,AB777243C,2022 to 2023,868.94
Jairo,Sipes,AB186128C,2022 to 2023,175.75
Dorthy,Sawayn,AB499582C,2022 to 2023,644.26
Estefania,Rippin,AB745293C,2022 to 2023,105.44
Eldora,Lang,AB699621C,2022 to 2023,28.93
D'angelo,Cruickshank,AB526213C,2022 to 2023,656.44
Rubie,Murazik,AB748366C,2022 to 2023,11.21
Boris,Weissnat,AB213834C,2022 to 2023,730.30
Kareem,Borer,AB951467C,2022 to 2023,345.35
Monserrate,Wuckert,AB707543C,2022 to 2023,856.80
Leatha,Murphy,AB236233C,2022 to 2023,924.35
Cooper,Crooks,AB451252C,2022 to 2023,355.88
Nasir,Botsford,AB458641C,2022 to 2023,545.58
Roel,Mitchell,AB579946C,2022 to 2023,153.92
Chase,Hartmann,AB289516C,2022 to 2023,564.67
Ally,Ondricka,AB273445C,2022 to 2023,225.89
Jermain,Larson,AB785615C,2022 to 2023,159.05
Domenico,Blick,AB133366C,2022 to 2023,391.26
Ladarius,Renner,AB531403C,2022 to 2023,204.67
Jan,Medhurst,AB254590C,2022 to 2023,638.65
Mitchel,Douglas,AB971951C,2022 to 2023,557.37
Mae,Greenfelder,AB682148C,2022 to 2023,610.28
Donald,Schmeler,AB993932C,2022 to 2023,352.15
Julianne,Thompson,AB624362C,2022 to 2023,158.99
Loren,Carroll,AB136268C,2022 to 2023,54.44
Anya,Adams,AB349256C,2022 to 2023,525.97
Janelle,Skiles,AB868475C,2022 to 2023,613.47
Estelle,Franecki,AB409926C,2022 to 2023,783.39
Ruthe,Skiles,AB271086C,2022 to 2023,467.10
Erna,Altenwerth,AB234910C,2022 to 2023,251.74
Estevan,Corkery,AB500029C,2022 to 2023,684.00
Kevin,Spinka,AB415833C,2022 to 2023,546.43
Bertha,Bergstrom,AB958620C,2022 to 2023,301.90
Madelynn,Kunde,AB320071C,2022 to 2023,619.35
Charley,Lebsack,AB141298C,2022 to 2023,150.75
Trevion,Reichert,AB636193C,2022 to 2023,209.01
Julien,Pfeffer,AB563849C,2022 to 2023,448.70
Winifred,Gutkowski,AB239807C,2022 to 2023,266.61
Amy,Crona,AB600832C,2022 to 2023,273.94
Kory,Torphy,AB653720C,2022 to 2023,511.43
Antone,Glover,AB219346C,2022 to 2023,64.98
Maurine,Grant,AB619688C,2022 to 2023,158.82
Zackery,Aufderhar,AB746470C,2022 to 2023,263.48
Era,Stokes,AB122475C,2022 to 2023,735.46
Malika,Batz,AB495925C,2022 to 2023,959.22
Fannie,Pagac,AB208576C,2022 to 2023,804.23
Leonel,Nader,AB815536C,2022 to 2023,98.71
Judd,Price,AB564399C,2022 to 2023,362.44
Alexandro,Crooks,AB844159C,2022 to 2023,738.43
Janelle,Connelly,AB104582C,2022 to 2023,566.22
Earnest,Murphy,AB393383C,2022 to 2023,878.92
Rahsaan,Stiedemann,AB104099C,2022 to 2023,852.85
Kip,DuBuque,AB185961C,2022 to 2023,525.73
Carlos,Jacobs,AB253329C,2022 to 2023,527.96
Cayla,Corkery,AB358243C,2022 to 2023,482.70
Mya,Kuhic,AB865663C,2022 to 2023,129.60
Tyrese,Baumbach,AB132806C,2022 to 2023,479.00
Norberto,Jerde,AB772412C,2022 to 2023,637.26
Adonis,Larkin,AB972204C,2022 to 2023,480.22
Juanita,Mertz,AB720004C,2022 to 2023,270.06
Fidel,Collins,AB777374C,2022 to 2023,33.36
Johnnie,Dickinson,AB195490C,2022 to 2023,750.37
Jessyca,Mueller,AB421227C,2022 to 2023,953.76
Kip,Conn,AB813704C,2022 to 2023,415.28
Marcella,Muller,AB753492C,2022 to 2023,135.64
Jaleel,Ruecker,AB549473C,2022 to 2023,101.43
Ofelia,Considine,AB945548C,2022 to 2023,239.98
Claud,Jacobi,AB991642C,2022 to 2023,924.12
Celia,Harris,AB822381C,2022 to 2023,409.65
Ole,Murazik,AB228351C,2022 to 2023,956.20
Fatima,Mertz,AB499861C,2022 to 2023,100.38
Stewart,Morissette,AB959061C,2022 to 2023,824.45
Dexter,Brown,AB779086C,2022 to 2023,767.92
Charlotte,O'Reilly,AB124613C,2022 to 2023,345.09
Conner,Schneider,AB770668C,2022 to 2023,834.77
Willow,Considine,AB721588C,2022 to 2023,577.02
Delilah,Fadel,AB830764C,2022 to 2023,663.37
Noelia,Mueller,AB689530C,2022 to 2023,284.89
Wiley,Schamberger,AB329220C,2022 to 2023,534.11
Mckenna,Schmitt,AB927458C,2022 to 2023,184.80
Noel,Gulgowski,AB916376C,2022 to 2023,211.81
Easton,Tromp,AB590246C,2022 to 2023,867.12
Ruby,Gulgowski,AB885929C,2022 to 2023,897.39
Hailie,Kihn,AB122795C,2022 to 2023,851.92
Alia,Stiedemann,AB870630C,2022 to 2023,863.30
Cooper,Borer,AB165603C,2022 to 2023,719.80
Mekhi,Considine,AB485487C,2022 to 2023,19.54
Michel,Ankunding,AB159466C,2022 to 2023,139.74
Tania,White,AB636909C,2022 to 2023,764.83
Lily,Lowe,AB827266C,2022 to 2023,273.99
Billy,Connelly,AB261293C,2022 to 2023,148.69
Earlene,Hartmann,AB715736C,2022 to 2023,28.50
Carlotta,Corkery,AB840122C,2022 to 2023,543.16
Xavier,Swaniawski,AB383608C,2022 to 2023,708.61
Mariane,Nolan,AB386626C,2022 to 2023,736.59
Alysa,Mosciski,AB897044C,2022 to 2023,824.16
Shaniya,Hagenes,AB317510C,2022 to 2023,610.88
Terry,Rau,AB179650C,2022 to 2023,604.55
Vada,Cruickshank,AB696713C,2022 to 2023,2.68
Stan,West,AB740196C,2022 to 2023,655.70
Theodora,Bergnaum,AB199370C,2022 to 2023,419.77
Chloe,Bartoletti,AB299190C,2022 to 2023,331.67
Shyanne,Zboncak,AB466951C,2022 to 2023,938.70
Timmothy,Hammes,AB156592C,2022 to 2023,730.16
Cecelia,Reynolds,AB374162C,2022 to 2023,537.09
Simone,Skiles,AB641572C,2022 to 2023,409.56
Ernesto,Kertzmann,AB957702C,2022 to 2023,482.25
Gordon,Klein,AB499936C,2022 to 2023,373.89
Marcelina,Labadie,AB231075C,2022 to 2023,998.81
Velda,Mayer,AB232899C,2022 to 2023,75.84
Jazmin,Stark,AB449854C,2022 to 2023,835.30
Pinkie,Mayert,AB328959C,2022 to 2023,606.05
Guiseppe,Kohler,AB789368C,2022 to 2023,642.61
Sterling,Torp,AB412801C,2022 to 2023,60.69
Irma,Gaylord,AB414538C,2022 to 2023,717.49
Jevon,Rath,AB481132C,2022 to 2023,507.75
Americo,Johnston,AB561804C,2022 to 2023,486.08
Thurman,Mosciski,AB269463C,2022 to 2023,541.56
Laurel,Wolff,AB628968C,2022 to 2023,518.16
Maureen,Brekke,AB607852C,2022 to 2023,173.92
Kurtis,Berge,AB239474C,2022 to 2023,788.50
Garret,Turcotte,AB762512C,2022 to 2023,965.63
Demetrius,Sauer,AB705944C,2022 to 2023,801.40
Ignatius,Stiedemann,AB900135C,2022 to 2023,216.35
Mireille,Collins,AB476283C,2022 to 2023,113.36
Nakia,Bahringer,AB191170C,2022 to 2023,732.19
Hazle,Sauer,AB751221C,2022 to 2023,706.63
Emerson,Metz,AB667654C,2022 to 2023,390.78
Mandy,Grimes,AB907525C,2022 to 2023,733.49
Abner,Bartoletti,AB546249C,2022 to 2023,976.23
Lizeth,Zulauf,AB370371C,2022 to 2023,699.98
Kameron,Fritsch,AB154955C,2022 to 2023,734.52
Deontae,Schumm,AB406024C,2022 to 2023,151.45
Francisca,Gutkowski,AB371448C,2022 to 2023,618.52
Concepcion,Gerhold,AB519674C,2022 to 2023,968.38
Wilson,Pollich,AB753677C,2022 to 2023,698.25
Estella,Stokes,AB673713C,2022 to 2023,532.99
Gabriel,Mertz,AB703441C,2022 to 2023,111.16
Larissa,Mayert,AB817837C,2022 to 2023,496.30
Trystan,Ledner,AB540433C,2022 to 2023,402.32
Carolina,Schroeder,AB521273C,2022 to 2023,309.87
Jennyfer,Hessel,AB995745C,2022 to 2023,455.73
Hiram,Abernathy,AB733751C,2022 to 2023,111.77
Nickolas,Kling,AB376601C,2022 to 2023,356.61
Kailey,Ledner,AB222872C,2022 to 2023,10.63
Bertrand,Yost,AB763448C,2022 to 2023,128.21
Adell,Batz,AB120193C,2022 to 2023,32.70
Otto,Hilll,AB455541C,2022 to 2023,246.23
Syble,Jakubowski,AB967307C,2022 to 2023,974.09
Sherwood,Kunze,AB455325C,2022 to 2023,628.82
Coralie,Zboncak,AB214607C,2022 to 2023,297.42
Stacey,Auer,AB673129C,2022 to 2023,927.53
Vidal,Oberbrunner,AB742277C,2022 to 2023,805.15
Alexandrine,Boehm,AB342704C,2022 to 2023,886.64
Adrain,Hodkiewicz,AB775720C,2022 to 2023,338.79
Jamil,Veum,AB725375C,2022 to 2023,10.62
Kristin,Collier,AB321318C,2022 to 2023,395.97
Moses,Weissnat,AB946395C,2022 to 2023,448.67
Tad,Kutch,AB376840C,2022 to 2023,987.85
Jonathon,Quigley,AB772881C,2022 to 2023,877.89
Merlin,Shanahan,AB543110C,2022 to 2023,631.67
Cali,Beatty,AB512942C,2022 to 2023,294.11
Elisha,Kub,AB838141C,2022 to 2023,685.21
Lou,Osinski,AB979636C,2022 to 2023,856.31
Joyce,Kohler,AB249534C,2022 to 2023,815.09
Beau,McKenzie,AB935052C,2022 to 2023,885.91
Diana,Lubowitz,AB161456C,2022 to 2023,231.74
Lelia,Braun,AB413306C,2022 to 2023,921.22
Luisa,Hartmann,AB252095C,2022 to 2023,872.14
Lysanne,Bashirian,AB208635C,2022 to 2023,334.32
Everardo,Mayer,AB932901C,2022 to 2023,518.32
Ottis,Bernhard,AB111861C,2022 to 2023,93.01
Laurie,Daugherty,AB497129C,2022 to 2023,504.50
Timothy,Rippin,AB192408C,2022 to 2023,483.05
Daphne,Gutmann,AB432303C,2022 to 2023,167.60
Lora,Wiegand,AB322221C,2022 to 2023,790.81
Grayson,Hodkiewicz,AB327625C,2022 to 2023,68.18
Marjory,Crooks,AB462995C,2022 to 2023,968.77
Elvie,Hagenes,AB974104C,2022 to 2023,227.69
Noemi,Wilkinson,AB851174C,2022 to 2023,567.27
Noemie,Stamm,AB762918C,2022 to 2023,505.26
Maymie,Walker,AB988055C,2022 to 2023,706.10
Art,Kuvalis,AB456334C,2022 to 2023,831.97
Marisa,Nolan,AB234075C,2022 to 2023,574.37
Dora,Beahan,AB514776C,2022 to 2023,748.36
Keeley,Satterfield,AB515014C,2022 to 2023,784.52
Landen,Bergnaum,AB568375C,2022 to 2023,515.65
Hermann,Kuhic,AB675739C,2022 to 2023,117.14
Hilda,Hahn,AB701023C,2022 to 2023,757.67
Brycen,Ryan,AB815984C,2022 to 2023,461.96
Stefan,Murray,AB829202C,2022 to 2023,287.20
Watson,Abshire,AB999351C,2022 to 2023,540.16
Dayana,Mitchell,AB657613C,2022 to 2023,650.84
Annalise,Kirlin,AB494585C,2022 to 2023,561.96
Vivian,Lindgren,AB651395C,2022 to 2023,856.02
Isidro,Metz,AB648508C,2022 to 2023,316.13
Isac,Lemke,AB987474C,2022 to 2023,708.00
Pearline,Pouros,AB792415C,2022 to 2023,721.42
Gregoria,Waters,AB474335C,2022 to 2023,450.75
Laury,Gutmann,AB951469C,2022 to 2023,656.29
Kyla,Predovic,AB808066C,2022 to 2023,290.52
Freda,Murphy,AB375157C,2022 to 2023,902.65
Jaida,Von,AB886462C,2022 to 2023,795.97
Deondre,Mitchell,AB423472C,2022 to 2023,868.83
Trycia,Fisher,AB161464C,2022 to 2023,196.50
Walter,Harris,AB350156C,2022 to 2023,629.25
Elaina,Doyle,AB573971C,2022 to 2023,246.47
Isaias,Franecki,AB505615C,2022 to 2023,11.72
Lelah,Wunsch,AB805301C,2022 to 2023,810.98
Miller,Torp,AB952603C,2022 to 2023,60.44
Pablo,Nitzsche,AB624047C,2022 to 2023,931.87
Sandy,Hahn,AB539536C,2022 to 2023,352.56
Leland,Dibbert,AB891639C,2022 to 2023,724.33
Shayna,Purdy,AB643200C,2022 to 2023,132.11
Otilia,Kertzmann,AB254195C,2022 to 2023,307.64
Kayla,Gulgowski,AB280361C,2022 to 2023,226.69
Brett,Herzog,AB980580C,2022 to 2023,272.09
Fidel,Wilderman,AB437882C,2022 to 2023,493.63
Lou,Koelpin,AB392701C,2022 to 2023,886.23
Gillian,Jacobs,AB308774C,2022 to 2023,672.49
Jamison,Bogisich,AB502745C,2022 to 2023,743.86
Jewel,King,AB285638C,2022 to 2023,746.93
Jovan,Wolf,AB602199C,2022 to 2023,634.20
Tristian,Nitzsche,AB189700C,2022 to 2023,66.58
Lowell,Bosco,AB401932C,2022 to 2023,141.28
Jonathon,Hoeger,AB774191C,2022 to 2023,454.86
Isaac,Farrell,AB108476C,2022 to 2023,346.39
Baby,O'Reilly,AB264318C,2022 to 2023,588.67
Jay,Becker,AB368761C,2022 to 2023,796.21
Earlene,Ondricka,AB343963C,2022 to 2023,421.56
Kennith,Rodriguez,AB842267C,2022 to 2023,709.52
Adah,Ratke,AB260026C,2022 to 2023,692.52
Elijah,Cruickshank,AB169121C,2022 to 2023,315.21
Mariano,Terry,AB319256C,2022 to 2023,704.88
Brooks,Hintz,AB793196C,2022 to 2023,698.70
Michelle,Rath,AB876648C,2022 to 2023,48.08
Laila,Bernhard,AB242808C,2022 to 2023,644.84
Lamont,Kihn,AB246738C,2022 to 2023,295.66
Pearlie,Conn,AB341436C,2022 to 2023,210.48
Reva,Frami,AB357071C,2022 to 2023,192.33
Marjorie,Rowe,AB945655C,2022 to 2023,145.73
Otto,Johnston,AB889438C,2022 to 2023,576.93
Quentin,Nolan,AB147003C,2022 to 2023,13.68
Juwan,Hirthe,AB895553C,2022 to 2023,235.35
Kailyn,Ullrich,AB967228C,2022 to 2023,814.92
Madison,Shanahan,AB681282C,2022 to 2023,954.76
Laila,Konopelski,AB655222C,2022 to 2023,8.71
Angus,Gutkowski,AB517374C,2022 to 2023,963.33
Landen,Schmitt,AB549611C,2022 to 2023,166.66
Marianne,Dickinson,AB862942C,2022 to 2023,461.69
Hubert,Watsica,AB156126C,2022 to 2023,945.33
Christy,Spencer,AB964964C,2022 to 2023,31.16
Consuelo,Moen,AB650873C,2022 to 2023,876.28
Celestine,Borer,AB119031C,2022 to 2023,222.47
Adrianna,Brekke,AB221423C,2022 to 2023,692.73
Clara,O'Hara,AB443256C,2022 to 2023,116.47
Ursula,Kessler,AB937285C,2022 to 2023,879.34
Shaun,Zboncak,AB439734C,2022 to 2023,796.80
Katharina,Legros,AB719847C,2022 to 2023,563.97
Amanda,Gutmann,AB267566C,2022 to 2023,89.33
Julia,Mayert,AB615018C,2022 to 2023,798.82
Annabell,Jacobi,AB968953C,2022 to 2023,37.81
Allan,Donnelly,AB147318C,2022 to 2023,284.45
Jany,Halvorson,AB676213C,2022 to 2023,974.34
Kip,Muller,AB578732C,2022 to 2023,239.61
Leonor,Wolff,AB984978C,2022 to 2023,76.81
Karli,Torphy,AB397001C,2022 to 2023,286.98
Delaney,Jewess,AB192985C,2022 to 2023,476.17
Annette,Mueller,AB288192C,2022 to 2023,204.85
Golden,Swift,AB584632C,2022 to 2023,415.80
Prudence,Rolfson,AB870953C,2022 to 2023,82.32
Arianna,Farrell,AB566939C,2022 to 2023,178.93
Allison,Kovacek,AB666277C,2022 to 2023,586.26
Vicente,Mueller,AB589609C,2022 to 2023,497.41
Okey,Hoppe,AB479036C,2022 to 2023,387.55
Arlene,Runolfsdottir,AB209540C,2022 to 2023,494.13
Ulises,Bergnaum,AB594622C,2022 to 2023,643.55
Lavern,Crona,AB101675C,2022 to 2023,475.75
Madge,Nienow,AB168006C,2022 to 2023,175.78
Larry,Ziemann,AB414586C,2022 to 2023,943.65
Albina,Hoppe,AB254706C,2022 to 2023,638.01
Gladys,Wisoky,AB103053C,2022 to 2023,976.36
Adonis,Ebert,AB820978C,2022 to 2023,639.57
Alexie,Cummings,AB627455C,2022 to 2023,432.83
Arturo,Sipes,AB683329C,2022 to 2023,951.67
Delbert,Reichel,AB445460C,2022 to 2023,50.20
Otis,O'Kon,AB716259C,2022 to 2023,242.66
Alexandria,Reilly,AB568458C,2022 to 2023,549.51
Devon,Bahringer,AB782223C,2022 to 2023,898.42
Martina,Leuschke,AB814417C,2022 to 2023,198.34
Candelario,Oberbrunner,AB662430C,2022 to 2023,988.32
Tremaine,Dicki,AB780763C,2022 to 2023,784.06
Bartholome,Romaguera,AB454776C,2022 to 2023,704.90
Tremaine,Bashirian,AB357345C,2022 to 2023,32.02
Vicky,Kuhn,AB906583C,2022 to 2023,270.49
Gus,Ritchie,AB562338C,2022 to 2023,887.51
Melissa,Donnelly,AB954852C,2022 to 2023,19.56
Opal,Armstrong,AB432544C,2022 to 2023,838.59
Emmet,Goyette,AB506655C,2022 to 2023,758.98
Constance,Dooley,AB492203C,2022 to 2023,224.83
Bettie,Huels,AB242034C,2022 to 2023,302.86
Afton,Bartell,AB759187C,2022 to 2023,825.84
Eleanora,Gaylord,AB997268C,2022 to 2023,359.10
Leonora,Cormier,AB156537C,2022 to 2023,345.83
Oda,Bosco,AB316724C,2022 to 2023,771.51
Eddie,D'Amore,AB748231C,2022 to 2023,529.52
Lonie,Olson,AB890804C,2022 to 2023,243.07
Jorge,Kling,AB304494C,2022 to 2023,700.49
Kennedy,Gerlach,AB601240C,2022 to 2023,739.06
Maegan,Okuneva,AB533813C,2022 to 2023,364.00
Idell,Greenfelder,AB684642C,2022 to 2023,421.84
Jerrold,Nitzsche,AB321315C,2022 to 2023,662.78
Tracey,Dibbert,AB311023C,2022 to 2023,125.15
Barrett,Green,AB857866C,2022 to 2023,468.74
Lisette,Greenholt,AB825151C,2022 to 2023,689.07
Alta,Conn,AB529616C,2022 to 2023,691.57
Adaline,Gottlieb,AB148899C,2022 to 2023,580.66
Ova,Friesen,AB379029C,2022 to 2023,386.94
Fay,Satterfield,AB873639C,2022 to 2023,995.77
Marietta,Kessler,AB889826C,2022 to 2023,974.76
Victor,Kovacek,AB633242C,2022 to 2023,204.56
Tracey,Oberbrunner,AB463530C,2022 to 2023,516.50
Braeden,Runolfsdottir,AB158348C,2022 to 2023,263.22
Elisabeth,Harvey,AB976291C,2022 to 2023,660.49
Dock,Bernier,AB395047C,2022 to 2023,802.86
Shaylee,Satterfield,AB461310C,2022 to 2023,731.83
Crawford,Steuber,AB681768C,2022 to 2023,198.08
Leann,Bednar,AB109996C,2022 to 2023,491.82
Cleora,Zulauf,AB563646C,2022 to 2023,584.93
Telly,Wiza,AB881096C,2022 to 2023,807.60
Johanna,Bashirian,AB558534C,2022 to 2023,583.43
Cecile,Jacobson,AB509673C,2022 to 2023,507.51
Lyda,Larson,AB839171C,2022 to 2023,990.49
Modesto,Schinner,AB939184C,2022 to 2023,669.91
Alexandrine,Nitzsche,AB257402C,2022 to 2023,835.91
Dashawn,Gusikowski,AB229475C,2022 to 2023,222.16
Remington,Brown,AB680316C,2022 to 2023,201.93
Alf,Moen,AB268256C,2022 to 2023,376.77
Deondre,Wintheiser,AB596196C,2022 to 2023,432.10
Melyssa,Beier,AB191275C,2022 to 2023,309.38
Sofia,Grady,AB145136C,2022 to 2023,754.41
Beau,Trantow,AB873263C,2022 to 2023,794.60
Belle,Cremin,AB422531C,2022 to 2023,846.17
Blake,Kerluke,AB436066C,2022 to 2023,429.33
Lauren,Harber,AB457489C,2022 to 2023,464.93
Marielle,Bergnaum,AB783985C,2022 to 2023,19.82
Karianne,Johns,AB503612C,2022 to 2023,11.04
Aurore,Ward,AB772436C,2022 to 2023,7.38
Muriel,Dietrich,AB573627C,2022 to 2023,320.88
Theresa,Becker,AB993112C,2022 to 2023,751.39
Casey,Johnston,AB671443C,2022 to 2023,635.97
Janessa,Schumm,AB499489C,2022 to 2023,720.73
Freida,Padberg,AB796441C,2022 to 2023,694.61
Ettie,Ward,AB303904C,2022 to 2023,276.90
Lonie,Mante,AB276324C,2022 to 2023,806.27
Mikayla,Luettgen,AB929502C,2022 to 2023,296.60
Adriel,Ziemann,AB723343C,2022 to 2023,517.84
Winona,McDermott,AB400701C,2022 to 2023,454.94
Oda,Mante,AB818981C,2022 to 2023,245.71
Clement,Bernier,AB851863C,2022 to 2023,386.86
Rosario,Ankunding,AB373442C,2022 to 2023,402.59
Garland,Marquardt,AB144159C,2022 to 2023,749.63
Erika,Effertz,AB748046C,2022 to 2023,420.00
Edmond,Mante,AB869560C,2022 to 2023,658.10
Arianna,Bernier,AB853585C,2022 to 2023,712.29
Kailyn,Sporer,AB195080C,2022 to 2023,537.80
Rosemary,Gleichner,AB766988C,2022 to 2023,164.97
Rozella,Gaylord,AB492533C,2022 to 2023,121.73
